Brand,Product,Technology,Announced,Status,Dimension,Weight,SIM,USB,Size,Resolution,OS,Chipset,CPU,GPU,Card_slot,Internal,Jack,Bluetooth,GPS,NFC,Radio,Charging,Wlan,Sensor,Price,
Apple,iPhone 13 Pro Max,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2021, September 14","Available. Released 2021, September 24",160.8 x 78.1 x 7.7 mm (6.33 x 3.07 x 0.30 in),240 g (8.47 oz),"Single SIM (Nano-SIM and/or eSIM) or Dual SIM (Nano-SIM/eSIM, dual stand-by)","Lightning, USB 2.0","6.7 inches, 109.8 cm2 (~87.4% screen-to-body ratio)","1284 x 2778 pixels, 19.5:9 ratio (~458 ppi density)","iOS 15, upgradable to iOS 15.1",Apple A15 Bionic (5 nm),Hexa-core (2x3.22 GHz Avalanche + 4xX.X GHz Blizzard),Apple GPU (5-core graphics),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM",No,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"Fast charging (27W, unofficial rating), 50% in 30 min (advertised)
USB Power Delivery 2.0
MagSafe wireless charging 15W
Qi magnetic fast wireless charging 7.5W","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","Face ID, accelerometer, gyro, proximity, compass, barometer","$â€‰1,099.00 / Â£â€‰1,049.00 / Rpâ€‰23,681,736",
Apple,iPhone 13 Pro,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2021, September 14","Available. Released 2021, September 24",160.8 x 78.1 x 7.7 mm (6.33 x 3.07 x 0.30 in),240 g (8.47 oz),"Single SIM (Nano-SIM and/or eSIM) or Dual SIM (Nano-SIM/eSIM, dual stand-by)","Lightning, USB 2.0","6.7 inches, 109.8 cm2 (~87.4% screen-to-body ratio)","1284 x 2778 pixels, 19.5:9 ratio (~458 ppi density)","iOS 15, upgradable to iOS 15.1",Apple A15 Bionic (5 nm),Hexa-core (2x3.22 GHz Avalanche + 4xX.X GHz Blizzard),Apple GPU (5-core graphics),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM",No,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"Fast charging (27W, unofficial rating), 50% in 30 min (advertised)
USB Power Delivery 2.0
MagSafe wireless charging 15W
Qi magnetic fast wireless charging 7.5W","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","Face ID, accelerometer, gyro, proximity, compass, barometer","$â€‰1,099.00 / Â£â€‰1,049.00 / Rpâ€‰23,681,736",
Apple,iPhone 13,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2021, September 14","Available. Released 2021, September 24",160.8 x 78.1 x 7.7 mm (6.33 x 3.07 x 0.30 in),240 g (8.47 oz),"Single SIM (Nano-SIM and/or eSIM) or Dual SIM (Nano-SIM/eSIM, dual stand-by)","Lightning, USB 2.0","6.7 inches, 109.8 cm2 (~87.4% screen-to-body ratio)","1284 x 2778 pixels, 19.5:9 ratio (~458 ppi density)","iOS 15, upgradable to iOS 15.1",Apple A15 Bionic (5 nm),Hexa-core (2x3.22 GHz Avalanche + 4xX.X GHz Blizzard),Apple GPU (5-core graphics),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM",No,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"Fast charging (27W, unofficial rating), 50% in 30 min (advertised)
USB Power Delivery 2.0
MagSafe wireless charging 15W
Qi magnetic fast wireless charging 7.5W","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","Face ID, accelerometer, gyro, proximity, compass, barometer","$â€‰1,099.00 / Â£â€‰1,049.00 / Rpâ€‰23,681,736",
Apple,iPhone 13 mini,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2021, September 14","Available. Released 2021, September 24",131.5 x 64.2 x 7.7 mm (5.18 x 2.53 x 0.30 in),141 g (4.97 oz),"Single SIM (Nano-SIM and/or eSIM) or Dual SIM (Nano-SIM, dual stand-by)","Lightning, USB 2.0","5.4 inches, 71.9 cm2 (~85.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~476 ppi density)","iOS 15, upgradable to iOS 15.1",Apple A15 Bionic (5 nm),Hexa-core (2x3.22 GHz Avalanche + 4xX.X GHz Blizzard),Apple GPU (4-core graphics),No,"128GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM",No,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"Fast charging (18W, unofficial rating), 50% in 30 min (advertised)
USB Power Delivery 2.0
MagSafe wireless charging 15W
Qi magnetic fast wireless charging 7.5W","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","Face ID, accelerometer, gyro, proximity, compass, barometer","$â€‰699.99 / Â£â€‰679.00 / â‚¬â€‰799.00 / â‚_â€‰69,900 / Rpâ€‰14,566,220",
Apple,iPad mini (2021),GSM / HSPA / LTE / 5G,"2021, September 14","Available. Released 2021, September 24",195.4 x 134.8 x 6.3 mm (7.69 x 5.31 x 0.25 in),293 g (Wi-Fi) / 297 g (Wi-Fi + Cellular) (10.34 oz),"Nano-SIM, eSIM","USB Type-C 3.1, DisplayPort","8.3 inches, 203.9 cm2 (~77.4% screen-to-body ratio)","1488 x 2266 pixels, 3:2 ratio (~327 ppi density)","iPadOS 15, upgradable to iPadOS 15.1",Apple A15 Bionic (5 nm),Hexa-core (2x2.93 GHz + 4xX.X GHz),Apple GPU (5-core),No,"64GB 4GB RAM, 256GB 4GB RAM",No,"5.0, A2DP","Yes, with A-GPS, GLONASS (Wiâ€‘Fi + Cellular model only)",No,No, ,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","Fingerprint (side-mounted), accelerometer, gyro, compass, barometer", ,
Apple,iPad 10.2 (2021),GSM / HSPA / LTE,"2021, September 14","Available. Released 2021, September 24",250.6 x 174.1 x 7.5 mm (9.87 x 6.85 x 0.30 in),487 g (Wi-Fi) / 498 g (LTE) (1.07 lb),"Nano-SIM, eSIM","Lightning, USB 2.0; magnetic connector","10.2 inches, 322.2 cm2 (~73.8% screen-to-body ratio)","1620 x 2160 pixels, 4:3 ratio (~265 ppi density)","iPadOS 15, upgradable to iPadOS 15.1",Apple A13 Bionic (7 nm+),Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),Apple GPU (4-core graphics),No,"64GB 3GB RAM, 256GB 3GB RAM",Yes,"4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS (Wiâ€‘Fi + Cellular model only)",No,No, ,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer", ,
Apple,Watch Edition Series 7,GSM / HSPA / LTE,"2021, September 14","Available. Released 2021, October 15",45 x 38 x 10.7 mm (1.77 x 1.50 x 0.42 in),"37 g (41mm), 45.1 g (45mm) (1.31 oz)",eSIM,No,1.9 inches,484 x 396 pixels (~326 ppi density),"watchOS 8.0, upgradable to 8.1",Apple S7,Dual-core,PowerVR,No,32GB,No,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS",Yes,No,Wireless charging,"Wi-Fi 802.11 b/g/n, dual-band","Accelerometer, gyro, heart rate, barometer, always-on altimeter, compass, SpO2, VO2max",About 830 EUR,
Apple,Watch Series 7,GSM / HSPA / LTE,"2021, September 14","Available. Released 2021, October 15",45 x 38 x 10.7 mm (1.77 x 1.50 x 0.42 in),"42.3 g (41mm), 51.5 g (45mm) (1.48 oz)",eSIM,No,1.9 inches,484 x 396 pixels (~326 ppi density),"watchOS 8.0, upgradable to 8.1",Apple S7,Dual-core,PowerVR,No,32GB,No,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS",Yes,No,Wireless charging,"Wi-Fi 802.11 b/g/n, dual-band","Accelerometer, gyro, heart rate, barometer, always-on altimeter, compass, SpO2, VO2max",$â€‰769.98 / â‚¬â€‰729.00,
Apple,Watch Series 7 Aluminum,GSM / HSPA / LTE,"2021, September 14","Available. Released 2021, October 15",45 x 38 x 10.7 mm (1.77 x 1.50 x 0.42 in),"32 g (41mm), 38.8 g (45mm) (1.13 oz)",eSIM,No,1.9 inches,484 x 396 pixels (~326 ppi density),"watchOS 8.0, upgradable to 8.1",Apple S7,Dual-core,PowerVR,No,32GB,No,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS",Yes,No,Wireless charging,"Wi-Fi 802.11 b/g/n, dual-band","Accelerometer, gyro, heart rate, barometer, always-on altimeter, compass, SpO2, VO2max",$â€‰479.99 / â‚¬â€‰429.00,
Apple,iPad Pro 12.9 (2021),GSM / CDMA / HSPA / EVDO / LTE / 5G,"2021, April 20","Available. Released 2021, May 21",280.6 x 214.9 x 6.4 mm (11.05 x 8.46 x 0.25 in),"682 g (Wi-Fi), 685 g (5G) (1.50 lb)","Nano-SIM, eSIM","USB Type-C 4 (Thunderbolt 4), DisplayPort; magnetic connector","12.9 inches, 515.3 cm2 (~85.4% screen-to-body ratio)","2048 x 2732 pixels, 4:3 ratio (~265 ppi density)","iPadOS 14.5.1, upgradable to iPadOS 15.1",Apple M1,Octa-core,Apple GPU (8-core graphics),No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM, 1TB 16GB RAM, 2TB 16GB RAM",No,"5.0, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, GALILEO, QZSS (Wiâ€‘Fi + Cellular model only)",No,No,Fast charging 18W,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","Face ID, accelerometer, gyro, barometer",About 1200 EUR,
